LIFe Code,GN Code,Name in Sinhala,Name in Tamil,Name in English,MPA Code,Province,Province No,Province Sinhala,Province Tamil,Province English,District,Province No,Province Sinhala,Province Tamil,Province English,Divisional Secretariat,Province No,Province Sinhala,Province Tamil,Province English
1-1-03-125,125,__________,____ ___________,Galle Face,C6,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-130,130,________ _____,________________,Slave Island,C33,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-135,135,_________,_____________,Hunupitiya,C9,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-140,140,_________,__________,Suduwella,C34,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-145,145,__________,_______________ (__________),Keselwatta,C12,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-150,150,__________,______________,Panchikawatta,C30,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-155,155,__________ _____,___________ _______,Maligawatta West,C23,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-160,160,__________,___________,Maligakanda,C21,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-165,165,_____,______,Maradana,C24,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-170,170,________,___________,Ibbanwala,C10,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-03-175,175,______,______,Wekanda,C35,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,3: ____/ ________/ Colombo,3,____,________,Colombo
1-1-06-005,005,______,______,Wadulla,509D,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-010,010,_______,_______,Sedawatta,509A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-015,015,________,________,Halmulla,509C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-020,020,_______,__________,Kotuvila,509,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-025,025,________,__________,Veheragoda,509B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-030,030,__________,____________,Orugodawatta,510A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-035,035,__________,______________,Meethotamulla,510,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-040,040,________,_____________,Welewaththa,508A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-045,045,___________,____________,Kiththampahuwa,508,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-050,050,_________,__________,Wennawatta,507,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-055,055,__________ __,__ ________ B,Mahabuthgamuwa B,506C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-060,060,____ ________,____ ________,Kuda Buthgamuwa,506A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-065,065,__________,____________,Kelanimulla,504,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-070,070,______,_________,Ambathale,501A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-075,075,___________  ____,___________ ______,Mulleriyawa North,501,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-080,080,_____,_________   _____,Belagama,504A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-085,085,__________  ________,_______________ _______,Kotikawatta East,505,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-090,090,__ ________ _,__ _________ A,Maha Buthgamuwa A,506,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-095,095,__ ________ __,__ _________ C,Maha Buthgamuwa C,506D,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-100,100,____________,_______________,Wellampitiya,511,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-105,105,____________,______________,Kuriniyawatta,510B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-110,110,_________,_____________,Kolonnawa,512,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-115,115,_______,_________,Dahampura,511A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-120,120,_______,__________,Singhapura,512B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-125,125,_____ _________,_______ ______________,Megoda Kolonnawa,513A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-130,130,_______,____________,Bopeththa,513D,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-135,135,__________,______________,Batalandahena,506B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-140,140,__________ _____,__________________ _______,Kotikawatta West,505C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-145,145,___________  ____,______________ _______,Mulleriyawa South,503A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-150,150,_____,_____,Malgama,503C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-155,155,________  ____,________ ______,Udumulla North,502,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-160,160,_____________,________________,Maligagodella,502B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-165,165,_________,__________,Rajasinghagama,502C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-170,170,________   ____,________ _______,Udumulla South,502A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-175,175,_______   ________,___________ _______,Himbutana East,503B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-180,180,_______   _____,___________ _______,Himbutana West,503,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-185,185,______,______,Malpura,505A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-190,190,______ __ ____,____________ ____ _____,Gothatuwa New Town,505B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-195,195,_________,_________,Kajugahawatta,513C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-200,200,______,____________,Gothatuwa,513,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-205,205,________,________,Salamulla,512A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-210,210,_______,_______,Wijayapura,512D,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-215,215,_______,_______,Gajabapura,512C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-220,220,___________,____________,Madinnagoda,513B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-225,225,______,______,Elhena,513E,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-06-230,230,__________,______________,Dodamgahahena,505D,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,6: _________/ ____________/ Kolonnawa,6,_________,____________,Kolonnawa
1-1-09-005,005,_______,__________,Welivita,475,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-010,010,_________,_________,Raggahawatta,474A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-015,015,______,___________,Hewagama,474,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-020,020,______,________,Kaduwela,473A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-025,025,___ _______,___ ___________,Pahala Bomiriya,472A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-030,030,___ _______,___ _________,Ihala Bomiriya,471,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-035,035,________,_____________,Wekewatta,471A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-040,040,______,______,Nawagamuwa,470,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-045,045,___ _______ __,____  ___________ B,Pahala Bomiriya B,472B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-050,050,_______,__________,Welihinda,488A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-055,055,_______,___________,Kothalawala,473,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-060,060,_______,________,Mahadeniya,475A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-065,065,______  ____,_____ ______,Thalahena North,478,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-070,070,_______  ____,______ ______,Malabe North,476B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-075,075,_________,_______,Thunadahena,488B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-080,080,______,_____________,Korathota,488,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-085,085,______ ____,______ _______,Nawagamuwa South,470A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-090,090,_______,___________,Batewela,480C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-095,095,____,____,Ranala,469,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-100,100,________,_________,Dedigamuwa,480A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-105,105,__________,_______________,Embilladeniya,480B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-110,110,___________,______________,Welipillewa,480,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-115,115,___________,_____________,Shanthalokagama,487A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-120,120,____,______________,Pore,489,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-125,125,_____ ________,________ _______,Malabe East,476,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-130,130,______ _____,________ _______,Malabe West,476A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-135,135,_____ ____ __,______ ______ B,Thalangama North B,477A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-140,140,______  ____,_______ ______,Thalahena South,478A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-145,145,_____________,_______________,Muttettugoda,477B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-150,150,_____ ____ _,______ ______ A,Thalangama North A,477,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-155,155,______,________,Walpola,491A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-160,160,________,__________,Kalapaluwawa,491,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-165,165,_________,_________________,Kotuwegoda,491B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-170,170,_________,__________,Subhoothipura,492,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-175,175,________,________,Udumulla,492C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-180,180,__________ ____,__________ ______,Battaramulla North,492B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-185,185,_____,_________,Batapotha,479E,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-190,190,________,__________,Pothuarawa,477C,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-195,195,_______   ____,_______________ ______,Hokandara North,494,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-200,200,_____,_____,Oruwala,487,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-205,205,__________,____________,Athurugiriya,490,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-210,210,________,________,Thaldiyawala,490B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-215,215,________,____________,Boralugoda,489A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-220,220,_______ ________,____________ _______,Hokandara East,494A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-225,225,_____,______,Arangala,494B,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
1-1-09-230,230,_______,________,Evarihena,495A,1: ________/ ______/ Western,1,________,______,Western,1: ____/ __________/ Colombo,1,____,__________,Colombo,9: ______/ _________/ Kaduwela,9,______,_________,Kaduwela
